name,latitude,longitude,iata
Utirik Airport,11.222219,169.851429,UTK
Ocean Reef Club Airport,25.3253994,-80.27480316,OCA
Cuddihy Field,27.7211,-97.512802,CUX
Crested Butte Airpark,38.851918,-106.928341,CSE
Columbus Airport,31.823898,-107.629924,CUS
LBJ Ranch Airport,30.251801,-98.622498,JCY
Loring Seaplane Base,55.601299,-131.636993,WLR
Nunapitchuk Airport,60.905591,-162.440454,NUP
Port Alice Seaplane Base,55.803,-133.597,PTC
Icy Bay Airport,59.966269,-141.660118,ICY
Port Protection Seaplane Base,56.3288002,-133.6100006,PPV
Kalakaket Creek AS Airport,64.4166257,-156.8203926,KKK
Dunsmuir Muni-Mott Airport,41.263199,-122.272003,MHS
Chase Field Industrial Airport,28.362444,-97.661917,NIR
Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,GCT
Ellamar Seaplane Base,60.893818,-146.704038,ELW
Lime Village Airport,61.35910034,-155.4400024,LVD
Hog River Airport,66.176133,-155.684816,HGZ
Ed-Air Airport,38.851782,-87.49987,OTN
Telida Airport,63.39390182,-153.2689972,TLF
Eagle Air Park,28.98220062,-95.57969666,BZT
Entrance Island Seaplane Base,57.412201,-133.43848,HBH
False Island Seaplane Base,57.53219986,-135.2129974,FAK
Blakely Island Airport,48.579162,-122.823844,BYW
Drift River Airport,60.58890152,-152.1620026,DRF
Rinkenberger Restricted Landing Area,41.23089981,-89.61569977,BDF
Tetlin Airport,63.124618,-142.518005,TEH
Roy Otten Memorial Airfield,38.42779922,-92.87519836,VRS
Golden Horn Lodge Seaplane Base,59.74700165,-158.875,GDH
Atmautluak Airport,60.866699,-162.272996,ATT
Livengood Camp Airport,65.467,-148.6534,LIV
Pedro Bay Airport,59.796925,-154.129994,PDB
Ouzinkie Airport,57.942094,-152.464314,KOZ
Tununak Airport,60.569638,-165.246649,TNK
Hyder Seaplane Base,55.903324,-130.009975,WHD
Minto Al Wright Airport,65.147991,-149.368658,MNT
Tokeen Seaplane Base,55.93709946,-133.3269959,TKI
Aleknagik / New Airport,59.2826004,-158.6179962,WKK
Ketchikan Harbor Seaplane Base,55.349899,-131.677002,WFB
Rollang Field,32.953543,-90.845144,RFK
Naknek Airport,58.735633,-157.02216,NNK
Lake Brooks Seaplane Base,58.554798,-155.776993,BKF
Southern Seaplane Airport,29.866078,-90.021608,BCS
Minute Man Air Field,42.460298,-71.519031,MMN
Catalina Air-Sea Terminal Heliport,33.74919891,-118.2750015,SPQ
East 34th Street Heliport,40.742372,-73.972074,TSS
New York Skyports Inc Seaplane Base,40.735061,-73.972814,NYS
Earl Henry Airport,36.79589844,-97.31700134,BWL
Yes Bay Lodge Seaplane Base,55.91630173,-131.8009949,WYB
Center Island Airport,48.490046,-122.831612,CWS
Tatitlek Airport,60.871449,-146.690297,TEK
Pine Island Airport,36.252744,-75.785256,DUF
Stuart Island Airpark,48.673379,-123.175439,SSW
Fort Bragg Airport,39.472445,-123.795319,FOB
Port of Poulsbo Marina Moorage Seaplane Base,47.73400116,-122.6470032,PUL
Century City Heliport,34.06079865,-118.4179993,CCD
Meyers Chuck Seaplane Base,55.73960114,-132.2550049,WMK
Maxson Airfield,44.312002,-75.90034,AXB
Reese Airpark,33.59030151,-102.0370026,REE
Waldron Airstrip,48.71141,-123.018208,WDN
Whale Pass Seaplane Float Harbor Facility,56.116299,-133.121994,WWP
Chuathbaluk Airport,61.579102,-159.216003,CHU
Ugashik Airport,57.523476,-157.396344,UGS
Recreation and Conference Center Heliport,34.020472,-117.927396,JID
Philadelphia Seaplane Base,39.85900116,-75.29959869,PSQ
Levelock Airport,59.12606,-156.860906,KLL
Saginaw Seaplane Base,56.88629913,-134.1580048,SGW
Tuntutuliak Airport,60.351243,-162.654476,WTL
Twin Hills Airport,59.074713,-160.274992,TWA
Chignik Lake Airport,56.25500107,-158.7749939,KCQ
Adado Airport,6.095802,46.6375,AAD
Atkamba Airport,-6.06462,141.095173,ABP
Arica Airport,-2.143713,-71.75935,ACM
Andakombe Airport,-7.137222222,145.7447222,ADC
El Daein Airport,11.4023,26.1186,ADV
Jebel Ali Seaplane Base,24.988967,55.023796,DJH
Adareil Airport,10.053611,32.959444,AEE
Aseki Airport,-7.350805,146.193994,AEK
Ar Horqin Airport,43.908407,120.15099,AEQ
"""Ghost"" International Airport",33.284605,69.80734,KHT
Orūzgān Airport,32.90299988,66.63089752,URZ
Salerno Airport,33.3638,69.9561,OLR
Kondavattavana Tank Seaplane Base,7.284,81.644,AFK
Afore Airstrip,-9.13867,148.390701,AFR
Afutara Aerodrome,-9.191388889,160.9486111,AFT
Ulawa Airport,-9.860543583,161.9795465,RNA
Uru Harbour Airport,-8.87333,161.011002,ATD
Barakoma Airport,-7.912779808,156.7059937,VEV
Geva Airport,-7.575829983,156.5970001,GEF
Angoram Airport,-4.057077,144.073841,AGG
Gwaunaru'u Airport,-8.70257,160.682007,AKS
Bellona/Anua Airport,-11.30222222,159.7983333,BNY
Choiseul Bay Airport,-6.711944,156.396111,CHY
Ballalae Airport,-6.990745,155.886656,BAS
Fera/Maringe Airport,-8.1075,159.576996,FRE
Honiara International Airport,-9.428,160.054993,HIR
Babanakira Airport,-9.7475,159.839005,MBU
Avu Avu Airport,-9.868333333,160.4105556,AVU
Ngorangora Airport,-10.44970036,161.897995,IRA
Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.794998,SCZ
Munda Airport,-8.32797,157.263,MUA
Nusatupe Airport,-8.097780228,156.8639984,GZO
Mono Airport,-7.416940212,155.5650024,MNY
Parasi Airport,-9.641670227,161.4250031,PRS
Rennell/Tingoa Airport,-11.55,160.062778,RNL
Sege Airport,-8.57889,157.876007,EGM
Santa Ana Airport,-10.847994,162.454108,NNB
Marau Airport,-9.86166954,160.8249969,RUS
Suavanao Airport,-7.58556,158.731003,VAO
Yandina Airport,-9.092816,159.21841,XYA
Kagua Airport,-6.396388889,143.8536111,AGK
Kaghau Airport,-7.3305,157.585,KGE
Kukudu Airport,-8.0262,156.94783,KUE
Kwailabesi Airport,-8.360508,160.775127,KWS
Wanigela Airport,-9.3375,149.1555556,AGL
Lomlom Airport,-10.296828,166.327322,LLM
Nana Airport,-10.6758,162.2049,NAZ
Manaoba Airport,-8.325008,160.80051,MHM
Gatokae Aerodrome,-8.738358,158.202836,GTA
Ringi Cove Airport,-8.126390457,157.1430054,RIN
Ramata Airport,-8.168060303,157.6430054,RBV
Tulaghi Heliport,-9.108,160.1491667,TLG
Argyle Downs Airport,-16.508604,128.922485,AGY
Hongyuan Airport,32.53154,102.35224,AHJ
Ambatolhy Airport,-20.01583333,45.535,AHY
Aiome Airport,-5.145699978,144.7307003,AIE
Aiambak Airport,-7.342777778,141.2675,AIH
Ailinglaplap Airok Airport,7.279422,168.8257,AIC
Chena Hot Springs Airport,65.05180359,-146.0469971,CEX
Solomon State Field,64.5605,-164.4457,SOL
Herendeen Bay Airport,55.802346,-160.901346,HED
Taylor Airport,65.6792984,-164.798996,TWE
Tikchik Lodge Seaplane Base,59.96319962,-158.477005,KTH
Naukati Bay Seaplane Base,55.849602,-133.227994,NKI
Point Lonely Short Range Radar Site Airfield,70.911118,-153.237766,LNI
Candle 2 Airport,65.90769959,-161.9259949,CDL
Amook Bay Seaplane Base,57.4715004,-153.8150024,AOS
Boswell Bay Airport,60.42309952,-146.1459961,BSW
Zakuoma Airport,10.89027778,19.81722222,AKM
Alitak Seaplane Base,56.897294,-154.249692,ALZ
Mar de Cortés International Airport,31.351987,-113.305177,PPE
Alto Molocue Airport,-15.61027778,37.68138889,AME
Ama Airport,-4.101111111,141.67,AMF
Amanab Airport,-3.586,141.2143333,AMU
Ambatomainty Airport,-17.686667,45.623889,AMY
Nauru International Airport,-0.547458,166.919006,INU
Angus Downs Airport,-25.0325,132.2748,ANZ
Catoca Airport,-9.431359,20.311557,CTV
Andulo Airport,-11.4723,16.710899,ANL
Cangamba Airport,-13.7106,19.861099,CNZ
Dirico Airport,-17.981924,20.768061,DRC
Capanda Airport,-9.769370079,15.4553194,KNP
N'dalatando Airport,-9.280378,14.982432,NDF
Annanberg Airport,-4.904166667,144.6358333,AOB
Abou-Deïa Airport,11.4773,19.2874,AOD
Asapa Airport,-8.979167,148.103611,APP
April River Airport,-4.676666667,142.5401389,APR
Girdwood-Alyeska Airport,60.968774,-149.119792,AQY
Bragado Airport,-35.145811,-60.480294,QRF
Caleta Olivia Airport,-46.37428,-67.59409,CVI
Charata Airport,-27.2164,-61.2103,CNT
General Villegas Airport,-34.995728,-62.999725,VGS
Los Menucos Airport,-40.817699,-68.074699,LMD
Valcheta Airport,-40.700001,-66.150002,VCF
Sunchales Aeroclub Airport,-30.9575,-61.5283,NCJ
Carmen de Patagones Airport,-40.7781,-62.9803,CPG
Termal Airport,-26.753611,-60.492222,PRQ
Aragip Airport,-9.883333333,149.4833333,ARP
Asirim Airport,-6.009722222,150.3686111,ASZ
Namatanai Airport,-3.6695,152.438,ATN
Aitape Airport,-3.143611111,142.3468056,ATP
Lady Elliot Island Airstrip,-24.1129,152.7156,LYT
Gruyere Airport,-28.034548,123.81506,GYZ
Karara Airport,-29.217223,116.687154,KQR
Alpha Airport,-23.652849,146.582668,ABH
Agnew Airport,-12.1456,142.149369,AGW
Alroy Downs Airport,-19.2908,136.078995,AYD
Baniyala Airport,-13.1981,136.227005,BYX
Coolibah Airport,-15.54829979,130.9620056,COB
Coorabie Airport,-31.89439964,132.2960052,CRJ
Carlton Hill Airport,-15.50189972,128.5339966,CRY
Cresswell Downs Airport,-17.94799995,135.9160004,CSD
Diamantina Lakes Airport,-23.76169968,141.1450043,DYM
Hayman Island Resort Seaplane Base,-20.05999947,148.8809967,HIS
Helenvale Airport,-15.6857996,145.2149963,HLV
Kimberley Downs Airport,-17.39780045,124.3550034,KBD
Kulgera Airport,-25.8428,133.292007,KGR
Orchid Beach Airport,-24.95940018,153.3150024,OKB
Peppimenarti Airport,-14.1442,130.091003,PEP
Rockhampton Downs Airport,-18.95330048,135.201004,RDA
Sturt Creek Airport,-19.16640091,128.173996,SSK
