name,latitude,longitude,city,iata
Utirik Airport,11.222219,169.851429,Utirik Island,UTK
Ocean Reef Club Airport,25.3253994,-80.27480316,Key Largo,OCA
Cuddihy Field,27.7211,-97.512802,Corpus Christi,CUX
Crested Butte Airpark,38.851918,-106.928341,Crested Butte,CSE
Columbus Airport,31.823898,-107.629924,Columbus,CUS
LBJ Ranch Airport,30.251801,-98.622498,Stonewall,JCY
Loring Seaplane Base,55.601299,-131.636993,Loring,WLR
Nunapitchuk Airport,60.905591,-162.440454,Nunapitchuk,NUP
Port Alice Seaplane Base,55.803,-133.597,Port Alice,PTC
Icy Bay Airport,59.966269,-141.660118,Icy Bay,ICY
Port Protection Seaplane Base,56.3288002,-133.6100006,Port Protection,PPV
Kalakaket Creek AS Airport,64.4166257,-156.8203926,Kalakaket Creek,KKK
Dunsmuir Muni-Mott Airport,41.263199,-122.272003,Dunsmuir,MHS
Chase Field Industrial Airport,28.362444,-97.661917,Beeville,NIR
Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,Littlefield,GCT
Ellamar Seaplane Base,60.893818,-146.704038,Ellamar,ELW
Lime Village Airport,61.35910034,-155.4400024,Lime Village,LVD
Hog River Airport,66.176133,-155.684816,Hogatza,HGZ
Ed-Air Airport,38.851782,-87.49987,Oaktown,OTN
Telida Airport,63.39390182,-153.2689972,Telida,TLF
Eagle Air Park,28.98220062,-95.57969666,Brazoria,BZT
Entrance Island Seaplane Base,57.412201,-133.43848,Entrance Island,HBH
False Island Seaplane Base,57.53219986,-135.2129974,False Island,FAK
Blakely Island Airport,48.579162,-122.823844,Blakely Island,BYW
Drift River Airport,60.58890152,-152.1620026,Kenai,DRF
Rinkenberger Restricted Landing Area,41.23089981,-89.61569977,Bradford,BDF
Tetlin Airport,63.124618,-142.518005,Tetlin,TEH
Roy Otten Memorial Airfield,38.42779922,-92.87519836,Versailles,VRS
Golden Horn Lodge Seaplane Base,59.74700165,-158.875,Golden Horn Lodge,GDH
Atmautluak Airport,60.866699,-162.272996,Atmautluak,ATT
Livengood Camp Airport,65.467,-148.6534,Livengood,LIV
Pedro Bay Airport,59.796925,-154.129994,Pedro Bay,PDB
Ouzinkie Airport,57.942094,-152.464314,Ouzinkie,KOZ
Tununak Airport,60.569638,-165.246649,Tununak,TNK
Hyder Seaplane Base,55.903324,-130.009975,Hyder,WHD
Minto Al Wright Airport,65.147991,-149.368658,Minto,MNT
Tokeen Seaplane Base,55.93709946,-133.3269959,Tokeen,TKI
Aleknagik / New Airport,59.2826004,-158.6179962,Aleknagik,WKK
Ketchikan Harbor Seaplane Base,55.349899,-131.677002,Ketchikan,WFB
Rollang Field,32.953543,-90.845144,Rolling Fork,RFK
Naknek Airport,58.735633,-157.02216,Naknek,NNK
Lake Brooks Seaplane Base,58.554798,-155.776993,Katmai National Park,BKF
